               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1213,            0.036311,                   0,           0.0038704,           0.0038911,           0.0014453,          0.00053423,             0.11912,            0.039399,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.11133,            0.035128,                   0,           0.0023829,           0.0077821,           0.0013495,          0.00027554,             0.11099,            0.041365,                   0,            0.079277,           0.0022772,           0.0022772
                   2,            0.099362,            0.036633,                   0,            0.004273,             0.46887,           0.0047476,           0.0010886,             0.09883,            0.045924,                   0,            0.068431,           0.0034307,           0.0034307
                   3,            0.087578,            0.038795,                   0,            0.014253,             0.71401,            0.016614,           0.0051815,            0.092498,            0.045617,                   0,             0.05756,           0.0045604,           0.0045604
                   4,            0.078291,            0.037458,                   0,             0.13728,             0.47116,             0.11953,            0.035575,            0.077994,            0.045332,                   0,            0.046666,           0.0056664,           0.0056664
                   5,            0.070818,            0.033609,                   0,             0.18571,             0.44553,             0.17008,            0.038437,            0.098455,            0.029696,                   0,            0.035749,           0.0067485,           0.0067485
                   6,            0.070382,             0.03118,                   0,             0.40783,             0.55837,             0.38481,             0.11822,            0.066658,            0.038668,                   0,            0.024807,            0.007807,            0.007807
                   7,            0.074248,            0.025241,                   0,             0.32135,             0.53113,             0.31985,            0.087604,            0.069995,             0.03068,                   0,            0.013842,           0.0088416,           0.0088416
                   8,             0.07199,            0.025197,                   0,             0.35318,              0.6537,             0.38064,             0.13388,            0.079651,              0.0276,                   0,            0.009208,            0.009208,            0.009208
                   9,             0.06571,            0.024063,                   0,             0.45314,             0.71595,             0.48699,             0.12597,            0.060774,            0.031821,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.060144,            0.023852,                   0,             0.46135,              0.6537,             0.56235,              0.1866,            0.058195,            0.032665,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.06124,            0.022489,                   0,             0.38939,             0.75097,             0.44483,              0.1286,            0.055398,            0.030429,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.05269,            0.021855,                   0,             0.38447,             0.75875,             0.53205,             0.17707,            0.054814,            0.031163,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.052764,            0.018903,                   0,             0.67424,             0.77237,             0.79496,             0.35382,            0.047457,            0.027381,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.048619,            0.020573,                   0,             0.74601,             0.89689,             0.88093,             0.45547,            0.042171,            0.033239,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.048496,            0.017605,                   0,             0.82302,             0.86857,             0.87336,             0.26236,            0.047052,            0.026604,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.046659,            0.019166,                   0,             0.54824,              0.8463,             0.68473,             0.20473,            0.072836,            0.029116,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.045881,             0.01636,                   0,              0.8006,             0.90272,             0.84474,             0.27236,            0.047439,             0.02593,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.044699,            0.018607,                   0,             0.66783,             0.87354,             0.83088,             0.42557,            0.055563,            0.026812,                   0,            0.008317,            0.008317,            0.008317
